plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-16 03:00:00	0.00010930933058261871	-0.8604278564453125	-0.8548774719238281	1.212910379273733
plot1	Nouragues	2001-01-16 04:00:00	1.2937933206558228e-05	-0.711212158203125	-0.884185791015625	1.1347278294859404
plot1	Nouragues	2001-01-16 05:00:00	1.1205673217773438e-05	-0.6291961669921875	-0.8238143920898438	1.036608879554878
plot1	Nouragues	2001-01-16 06:00:00	2.1841377019882202e-05	-0.51129150390625	-0.7730960845947266	0.9268746182642027
plot1	Nouragues	2001-01-16 07:00:00	0.0005436763167381287	-0.56915283203125	-0.8402004241943359	1.014825945187417
plot1	Nouragues	2001-01-16 08:00:00	0.0004006654023100964	-0.497314453125	-0.7569751739501953	0.905722407398617
plot1	Nouragues	2001-01-16 09:00:00	0.0002549886703491211	-0.465087890625	-0.8128604888916016	0.9365089003352319
plot1	Nouragues	2001-01-16 10:00:00	0.00013405382634346097	-0.4989776611328125	-0.9512500762939453	1.0741766213983661
plot1	Nouragues	2001-01-16 11:00:00	0.000360390701587221	-0.9198760986328125	-0.8516578674316406	1.2535921027168822
plot1	Nouragues	2001-01-16 12:00:00	6.280839443206787e-05	-0.821746826171875	-0.5838909149169922	1.0080656956995173
plot1	Nouragues	2001-01-16 13:00:00	5.1587820053100586e-05	-1.0491180419921875	-0.5132541656494141	1.167937714345246
plot1	Nouragues	2001-01-16 14:00:00	0.00019134581089019775	-1.624542236328125	-0.7074432373046875	1.771895429087767
plot1	Nouragues	2001-01-16 15:00:00	0.0001249760389328003	-1.9405975341796875	-1.3379669189453125	2.3571326364581813
plot1	Nouragues	2001-01-16 16:00:00	8.760392665863037e-05	-1.9566802978515625	-1.5867156982421875	2.519179329672398
plot1	Nouragues	2001-01-16 17:00:00	8.191168308258057e-05	-1.7266998291015625	-1.595367431640625	2.3508912228682486
plot1	Nouragues	2001-01-16 18:00:00	4.9933791160583496e-05	-1.4960479736328125	-1.5899658203125	2.1831515863935893
plot1	Nouragues	2001-01-16 19:00:00	5.424022674560547e-05	-1.645172119140625	-1.8914794921875	2.506847815676799
plot1	Nouragues	2001-01-16 20:00:00	3.1890283253233065e-05	-1.518890380859375	-1.6966400146484375	2.2771946180274947
plot1	Nouragues	2001-01-16 21:00:00	4.909932613372803e-05	-1.402740478515625	-1.38214111328125	1.9692625287372372
plot1	Nouragues	2001-01-16 22:00:00	2.0265579223632812e-06	-1.5422821044921875	-1.618560791015625	2.2357041673821643
plot1	Nouragues	2001-01-16 23:00:00	0.0	-1.44512939453125	-1.7448272705078125	2.2655730336596966
